time_ms	voltage_Va	voltage_Vb	current_A	power_W
2	14.2403	0.3774	-0.0093	-0.0035
6	14.2279	0.3528	-0.0091	-0.0032
9	14.2361	0.283	-0.4389	-0.1242
11	14.2115	0.2994	-0.368	-0.1102
13	14.1992	0.3117	-0.2426	-0.0756
15	14.2156	0.3282	-0.1786	-0.0586
18	14.232	0.3446	-0.1435	-0.0494
20	14.232	0.3487	-0.1042	-0.0363
22	14.2156	0.3487	-0.0754	-0.0263
25	14.2238	0.3528	-0.0532	-0.0188
27	14.2279	0.3733	-0.0493	-0.0184
30	14.1992	0.3487	-0.0414	-0.0144
32	14.2197	0.361	-0.0243	-0.0088
34	14.2238	0.3692	-0.0188	-0.0069
68	14.232	0.3692	-0.0139	-0.0051
71	14.2115	0.3651	-0.0037	-0.0014
74	14.2238	0.3774	0.0133	0.005
76	14.2074	0.3856	0.0647	0.0249
79	14.2197	0.3938	0.0895	0.0352
81	14.2074	0.4061	0.1069	0.0434
83	14.2115	0.4184	0.2057	0.0861
86	14.2485	0.4307	0.2303	0.0992
88	14.2074	0.4307	0.2263	0.0975
90	14.2115	0.4307	0.2272	0.0979
92	14.2279	0.443	0.237	0.105
95	14.2156	0.443	0.2487	0.1102
97	14.2074	0.4471	0.2458	0.1099
99	14.2074	0.4553	0.2635	0.12
101	14.232	0.4512	0.2737	0.1235
103	14.1868	0.4512	0.271	0.1223
108	14.2156	0.4635	0.2627	0.1218
110	14.2074	0.4676	0.277	0.1295
112	14.2197	0.4676	0.2857	0.1336
115	14.1909	0.4676	0.2863	0.1339
117	14.195	0.4758	0.293	0.1394
119	14.2115	0.4758	0.3005	0.143
121	14.2115	0.4799	0.2965	0.1423
123	14.2238	0.484	0.2928	0.1417
125	14.1909	0.4881	0.2893	0.1412
127	14.2156	0.4922	0.3046	0.1499
129	14.195	0.4922	0.3002	0.1478
131	14.2074	0.4922	0.3001	0.1477
133	14.2156	0.4963	0.3123	0.155
135	14.2156	0.443	0.31	0.1373
137	14.232	0.4307	0.3066	0.1321
139	14.2156	0.4963	0.3026	0.1502
141	14.1992	0.5168	0.3183	0.1645
143	14.2238	0.5045	0.3143	0.1586
145	14.2197	0.5045	0.3099	0.1564
147	14.2074	0.5086	0.3069	0.1561
149	14.2403	0.5086	0.3051	0.1552
151	14.2156	0.5168	0.3211	0.166
153	14.2074	0.5168	0.3171	0.1639
155	14.2115	0.525	0.3135	0.1646
157	14.2156	0.5168	0.312	0.1613
159	14.1909	0.5373	0.3258	0.1751
161	14.1827	0.5332	0.3233	0.1724
163	14.2074	0.5373	0.3196	0.1717
165	14.1992	0.5414	0.3163	0.1713
167	14.2279	0.5332	0.3123	0.1665
169	14.2074	0.5373	0.3091	0.1661
174	14.2279	0.5373	0.3193	0.1716
176	14.2238	0.5414	0.315	0.1706
178	14.2115	0.5414	0.3122	0.169
181	14.2115	0.5538	0.3089	0.1711
183	14.1334	0.5414	0.3049	0.1651
185	14.2115	0.5456	0.3215	0.1754
187	14.2156	0.5497	0.3175	0.1745
189	14.2115	0.5497	0.3129	0.172
191	14.2115	0.5497	0.3116	0.1713
193	14.195	0.5538	0.3276	0.1814
195	14.1827	0.5579	0.3233	0.1804
197	14.2279	0.5661	0.3196	0.1809
199	14.195	0.5579	0.3168	0.1767
201	14.2238	0.5497	0.3137	0.1724
203	14.1992	0.5784	0.3101	0.1794
205	14.1992	0.5825	0.3267	0.1903
207	14.2156	0.5702	0.3223	0.1838
209	14.2115	0.5784	0.3186	0.1843
212	14.2115	0.5948	0.3151	0.1874
214	14.1827	0.5743	0.3113	0.1788
216	14.2156	0.5784	0.3098	0.1792
218	14.2156	0.5866	0.3242	0.1902
220	14.2115	0.5825	0.3209	0.1869
222	14.232	0.5907	0.3191	0.1885
224	14.1992	0.5784	0.315	0.1822
226	14.1992	0.5907	0.3114	0.1839
228	14.2279	0.5948	0.3281	0.1951
230	14.1786	0.5948	0.3235	0.1924
232	14.2197	0.5948	0.3199	0.1903
234	14.195	0.5989	0.3162	0.1894
236	14.2156	0.5989	0.3143	0.1882
241	14.2197	0.603	0.3072	0.1852
243	14.232	0.6071	0.3233	0.1963
246	14.2279	0.603	0.318	0.1917
248	14.1868	0.603	0.3132	0.1889
250	14.195	0.6071	0.3115	0.1891
252	14.2238	0.5989	0.3091	0.1851
254	14.1786	0.6276	0.3257	0.2044
256	14.2279	0.6153	0.3214	0.1978
260	14.2156	0.6235	0.315	0.1964
263	14.2238	0.644	0.3101	0.1997
265	14.2156	0.6235	0.3079	0.192
267	14.2197	0.6276	0.3249	0.2039
269	14.195	0.6112	0.3202	0.1957
271	14.2074	0.6276	0.3168	0.1988
273	14.195	0.6317	0.3124	0.1973
275	14.2074	0.6399	0.3121	0.1997
277	14.2238	0.6358	0.326	0.2073
279	14.2115	0.6399	0.3228	0.2066
281	14.2279	0.644	0.3207	0.2065
283	14.2156	0.6399	0.3168	0.2027
285	14.2197	0.6481	0.3139	0.2034
287	14.195	0.6522	0.3104	0.2024
289	14.2197	0.6563	0.3264	0.2142
291	14.2074	0.6481	0.3229	0.2093
293	14.1992	0.6563	0.3181	0.2088
295	14.2156	0.6604	0.3173	0.2095
297	14.2074	0.6522	0.314	0.2048
299	14.195	0.6645	0.3311	0.22
301	14.2074	0.6727	0.3264	0.2196
303	14.2156	0.6768	0.323	0.2186
305	14.2115	0.6645	0.3194	0.2122
338	14.232	0.6891	0.2734	0.1884
341	14.2115	0.6891	0.2708	0.1866
343	14.2156	0.7219	0.2871	0.2073
345	14.1909	0.7055	0.2845	0.2007
347	14.2197	0.7014	0.3004	0.2107
349	14.1827	0.7014	0.2964	0.2079
351	14.1786	0.7014	0.2987	0.2095
353	14.195	0.6932	0.3104	0.2152
355	14.195	0.7055	0.3071	0.2167
357	14.2197	0.7055	0.3037	0.2143
359	14.1786	0.7055	0.3	0.2117
361	14.1992	0.7137	0.3155	0.2252
363	14.2156	0.7096	0.313	0.2221
365	14.2074	0.7137	0.3094	0.2208
367	14.2197	0.7137	0.308	0.2198
369	14.1827	0.7219	0.3229	0.2331
371	14.195	0.7219	0.3184	0.2299
373	14.1992	0.726	0.3163	0.2296
375	14.2115	0.7137	0.3126	0.2231
377	14.2197	0.7383	0.3104	0.2292
379	14.2115	0.7301	0.3259	0.238
381	14.2279	0.7342	0.3218	0.2363
383	14.2197	0.7342	0.32	0.235
385	14.2074	0.7383	0.3167	0.2338
387	14.1868	0.7424	0.3131	0.2325
