time_ms	voltage_Va	voltage_Vb	current_A	power_W
0	14.2567	13.962	0.0043	0.0613
7	14.2567	13.9374	0.0041	0.0585
11	14.2403	13.962	0.0043	0.0612
14	14.2567	13.9333	0.0041	0.0585
17	14.2567	13.962	0.0042	0.0599
20	14.2649	13.9415	0.0041	0.0585
23	14.2485	13.9579	0.0043	0.0613
26	14.2567	13.9743	0.0041	0.0585
34	14.2526	13.9497	0.0043	0.0613
37	14.2279	13.9415	0.0044	0.0626
40	14.2444	13.9538	0.0038	0.0541
43	14.2567	13.9415	0.0042	0.0599
46	14.2608	13.9333	0.0045	0.0642
49	14.2772	13.9415	0.0043	0.0614
52	14.2526	13.9292	0.004	0.057
89	14.2403	13.9251	0.0041	0.0584
92	14.2567	13.9333	0.0042	0.0599
95	14.2526	13.9497	0.004	0.057
98	14.2526	13.9292	0.0041	0.0584
101	14.2649	13.9292	0.0042	0.0599
104	14.2444	13.9374	0.0041	0.0584
107	14.2526	13.9415	0.0042	0.0599
110	14.2238	13.9456	0.0043	0.0612
113	14.2238	13.9497	0.004	0.0569
116	14.2403	13.9374	0.0042	0.0598
119	14.232	13.9333	0.0042	0.0598
122	14.232	13.9333	0.0045	0.064
125	14.2526	13.9333	0.004	0.057
129	14.2485	13.9292	0.004	0.057
133	14.2403	13.9333	0.0042	0.0598
139	14.2279	13.9292	0.0039	0.0555
143	14.269	13.9415	0.0043	0.0614
146	14.2485	13.9333	0.004	0.057
149	14.2567	13.9292	0.004	0.057
152	14.2279	13.9415	0.0042	0.0598
155	14.2444	13.9333	0.0043	0.0613
158	14.2403	13.9374	0.004	0.057
161	14.2444	13.9251	0.0039	0.0556
164	14.2403	13.9251	0.004	0.057
167	14.2485	13.921	0.0038	0.0541
170	14.2403	13.9415	0.004	0.057
173	14.2485	13.921	0.0042	0.0598
176	14.232	13.9374	0.0038	0.0541
179	14.2485	13.9251	0.004	0.057
182	14.2485	13.9374	0.0041	0.0584
185	14.232	13.9374	0.0044	0.0626
