tick,avg_buy_price,avg_sell_price
0,24.549,49.318
1,6.164,12.425
2,17.734,35.468
3,27.708,56.196
4,17.121,34.925
5,24.902,50.121
6,11.22,23.44
7,17.315,34.947
8,22.867,46.734
9,19.926,40.632
10,14.858,29.716
11,20.956,41.912
12,26.265,52.75
13,35.739,72.381
14,34.711,69.642
15,25.411,50.919
16,32.796,66.372
17,19.91,40.503
18,24.898,50.699
19,36.562,73.441
20,42.926,85.852
21,23.942,48.787
22,25.188,50.376
23,26.754,54.508
24,17.815,35.85
25,21.417,43.834
26,10.918,22.739
27,5.854,11.708
28,11.628,23.939
29,9.098,18.196
30,6.948,14.676
31,14.654,29.528
32,6.85,14.48
33,12.398,25.699
34,12.042,24.401
35,19.425,39.533
36,17.225,35.353
37,21.024,43.048
38,11.365,22.827
39,32.238,64.573
40,34.647,70.294
41,40.677,81.354
42,37.763,75.746
43,51.71,103.737
44,47.277,94.871
45,49.238,99.159
46,44.436,89.092
47,60.639,121.375
48,43.659,87.538
49,61.32,123.323
50,62.338,125.579
51,46.12,93.143
52,42.506,86.012
53,45.152,90.524
54,37.317,75.634
55,39.954,80.908
56,41.466,83.249
57,31.145,63.193
58,32.538,65.759
59,24.716,50.432
